"Id;""Name"";""Description"";""ServerName"";""TopicName"";""Address"";""Coef"";""Offset"";""LogEnabled"";""AlEnabled"";""Type"";""AlBool"";""MemTag"";""MbsTcpEnabled"";""MbsTcpFloat"";""SnmpEnabled"";""RTLogEnabled"";""AlAutoAck"";""ForceRO"";""SnmpOID"";""AutoType"";""AlHint"";""AlHigh"";""AlLow"";""AlTimeDB"";""AlLevelDB"";""IVGroupA"";""IVGroupB"";""IVGroupC"";""IVGroupD"";""PageId"";""RTLogWindow"";""RTLogTimer"";""LogDB"";""LogTimer"";""AlLoLo"";""AlHiHi"";""MbsTcpRegister"";""MbsTcpCoef"";""MbsTcpOffset"";""EEN"";""ETO"";""ECC"";""ESU"";""EAT"";""ESH"";""SEN"";""STO"";""SSU"";""TEN"";""TSU"";""FEN"";""FFN"";""FCO"";""AlStat"";""ChangeTime"";""TagValue"";""TagQuality"";""AlType""",,,,
"35;""BMS_Rack_7_Alarm_2"";""DCSW1 Sensing Fail"";""MODBUS"";""A"";""43360#8"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Additional_Protection Fault¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"36;""BMS_Rack_7_Alarm_3"";""DCSW2 Sensing Fail"";""MODBUS"";""A"";""43360#9"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 DCSW1 Sensing Fail Fault¶¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"37;""BMS_Rack_7_Alarm_4"";""DCSW3 Sensing Fail_Alarm"";""MODBUS"";""A"";""43360#10"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 DCSW2 Sensing Fail Fault¶¶¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"38;""BMS_Rack_7_Alarm_5"";""DCSW3 Fail_Alarm"";""MODBUS"";""A"";""43360#11"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 DCSW3 Sensing Fail_Fault¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"39;""BMS_Rack_7_Alarm_6"";""Module PCB Under Temperature_Alarm"";""MODBUS"";""A"";""43360#12"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 DCSW3 Fail_Fault¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"40;""BMS_Rack_7_Alarm_7"";""Module PCB Over-Temperature_Alarm"";""MODBUS"";""A"";""43360#13"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Module PCB Under Temperature_Fault¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"41;""BMS_Rack_7_Alarm_8"";""Charge Current Limit_Alarm"";""MODBUS"";""A"";""43360#14"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Module PCB Over-Temperature_Fault¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"42;""BMS_Rack_7_Alarm_9"";""Discharrge Current Limit_Alarm"";""MODBUS"";""A"";""43360#15"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Charge Current Limit_Fault¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"43;""BMS_Rack_7_Alarm_10"";""Rack Fuse Fail_Alarm"";""MODBUS"";""A"";""43361#0"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Discharrge Current Limit_Fault¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"44;""BMS_Rack_7_Alarm_11"";""Permanent Under-Voltage_Alarm"";""MODBUS"";""A"";""43361#1"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Rack Fuse Fail_Fault¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"45;""BMS_Rack_7_Alarm_12"";""Module Under-Temperature_Alarm"";""MODBUS"";""A"";""43362#0"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Permanent Under-Voltage_Fault¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"46;""BMS_Rack_7_Alarm_13"";""Module Over-Temperature_Alarm"";""MODBUS"";""A"";""43362#1"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Module Under-Temperature_Fault¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"47;""BMS_Rack_7_Alarm_14"";""Module Under Voltage_Alarm"";""MODBUS"";""A"";""43362#2"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Module Over-Temperature_Fault¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"48;""BMS_Rack_7_Alarm_15"";""Module Over Voltage_Alarm"";""MODBUS"";""A"";""43362#3"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Module Under Voltage_Fault¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"49;""BMS_Rack_7_Alarm_16"";""Module Voltage Imbalance Alarm"";""MODBUS"";""A"";""43362#4"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Module Over Voltage_Fault¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"50;""BMS_Rack_7_Alarm_17"";""Module Temperature Imbalance Alarm"";""MODBUS"";""A"";""43362#5"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Module Voltage Imbalance Fault¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"51;""BMS_Rack_7_Alarm_18"";""Rack Module Comms Fail Alarm"";""MODBUS"";""A"";""43362#6"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Module Temperature Imbalance Fault¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"52;""BMS_Rack_7_Alarm_19"";""Rack System Comms Fail Alarm"";""MODBUS"";""A"";""43362#7"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Module Comms Fail Fault¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"53;""BMS_Rack_7_Alarm_20"";""Rack Charge Over Current Alarm"";""MODBUS"";""A"";""43362#8"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 System Comms Fail Fault¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"54;""BMS_Rack_7_Alarm_21"";""Rack Discharge Over Current Alarm"";""MODBUS"";""A"";""43362#9"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Charge Over Current Fault¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
